Date/Time,SHOEBOX:Zone Air Temperature [C](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PEOPLE_COMFORT:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 08/08  03:00:00,22.46856650589042,0.0,0.0,5.307451558685652 
 08/08  04:00:00,21.899383331608804,0.0,0.0,6.463159323972749 
 08/08  05:00:00,21.254710235647406,0.0,0.0,8.75196828504401 
 08/08  06:00:00,20.676576235625036,0.0,0.0,11.173029319561003 
 08/08  07:00:00,20.829348162290726,0.0,0.0,9.448265656080486 
 08/08  08:00:00,21.314442971412416,0.0,0.0,7.745749662115375 
 08/08  09:00:00,22.151042684381755,0.0,0.0,5.568735963102827 
 08/08  10:00:00,23.073300030495436,0.0,0.0,5.111385430483698 
 08/08  11:00:00,23.943883902053434,0.0,0.0,6.472998656022587 
 08/08  12:00:00,24.877186243642844,0.0,0.0,10.284244658937747 
 08/08  13:00:00,25.85002961829873,218582.9405794246,381653.1706138747,17.541526914527613 
 08/08  14:00:00,25.999999999911677,295234.2774687698,877196.397777267,21.998979447348117 
 08/08  15:00:00,26.0,272916.85825409876,1373546.9416071326,26.42826773783955 
 08/08  16:00:00,26.0,222280.68326067009,1629292.6064206083,28.676569046822164 
 08/08  17:00:00,26.0,211809.84155968525,1885785.231688393,30.826299960496944 
 08/08  18:00:00,26.0,191974.8594984255,1862821.0070197266,30.70191598122206 
 08/08  19:00:00,26.0,158406.87486823405,1474251.977977577,27.809393623154237 
 08/08  20:00:00,26.0,56321.490004561296,491363.5535581154,21.81233315496379 
 08/08  21:00:00,25.933315559967768,1018.5875087345519,8625.989121496968,17.48098726598607 
 08/08  22:00:00,25.46124351602556,0.0,0.0,13.219588191990722 
 08/08  23:00:00,24.825507677899514,0.0,0.0,9.62638585068572 
 08/08  24:00:00,24.225218410389926,0.0,0.0,7.210518618479827 
 08/09  01:00:00,23.637093875147469,0.0,0.0,5.698784438559717 
 08/09  02:00:00,23.031413754015703,0.0,0.0,5.056426702123052 
 08/09  03:00:00,22.426689947852308,0.0,0.0,5.320804238791188 
 08/09  04:00:00,21.865030090343529,0.0,0.0,6.31233130047129 
 08/09  05:00:00,21.390245152252097,0.0,0.0,7.728989041636943 
 08/09  06:00:00,20.96734293382409,0.0,0.0,9.448497784901152 
 08/09  07:00:00,20.693144376112419,0.0,0.0,10.79197450057641 
 08/09  08:00:00,20.972453549711159,0.0,0.0,8.858869702483302 
 08/09  09:00:00,21.84672466856362,0.0,0.0,6.044351340522614 
 08/09  10:00:00,22.79710908410499,0.0,0.0,5.078193496575004 
 08/09  11:00:00,23.648731901270805,0.0,0.0,5.924758961908512 
 08/09  12:00:00,24.51213183732719,0.0,0.0,9.05759409768573 
 08/09  13:00:00,25.531324718523157,0.0,0.0,15.537871488168073 
 08/09  14:00:00,25.999949520089087,141550.67776626693,758200.0300301662,21.926714421079415 
 08/09  15:00:00,26.0,52631.33508397008,1202195.6366572732,26.175772189097775 
 08/09  16:00:00,26.0,7074.610160410726,1603586.01124204,29.320153207516353 
 08/09  17:00:00,26.0,0.0,2024740.2631506832,32.56926885296671 
 08/09  18:00:00,26.0,0.0,1946067.3628569255,31.94570456330466 
 08/09  19:00:00,26.0,0.0,1630369.929820051,29.66705463225671 
